stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,339.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,55.63,4.28,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,1.07,1.07,1.07,0,0,0,0,0
21Day,40.16,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,4.02,0,1.34,0,0,0
3Month,1.28,0,4.16,0,0,1.28,0.96,0,9.28,1.92,0,3.2,0.64,0,0.64,5.12,0.32,0,6.4,0.32,0,0,30.4,3.84,0.32,0.64,0.32,0.32
22Month,2.73,1.09,4.92,0,0.55,1.09,3.83,0.55,58.49,2.73,1.64,9.84,0.55,1.09,4.37,2.73,0.55,1.09,6.56,0,0,0,61.77,0,0.55,0,0,1.09
