stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.68,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,2.14,2.14,0,0,0,0,0,0,0,0,3.21,0,4.28,0,0,0,254.61,94.14,0,0,0,6.42,0,0,41.72,0,3.21,0,0,0
21Day,0,0,0,2.68,4.02,1.34,0,0,0,0,0,0,1.34,0,0,4.02,0,0,0,62.91,41.49,1.34,1.34,0,1.34,0,1.34,30.79,1.34,0,0,0,1.34
3Month,0,0.64,0,6.08,0,0,0.32,1.28,0,8.64,0.96,0.32,2.56,1.28,2.24,8.64,2.24,0,1.6,4.16,1.28,1.92,0.32,0,0.32,0.96,27.2,3.84,0,1.6,0.32,7.36,0.64
22Month,1.64,1.09,1.09,1.64,0,0,0.55,1.09,0.55,24.05,1.64,0,1.64,0,1.09,7.65,0,0.55,2.73,2.19,0.55,1.09,0,0.55,0,0.55,2.73,1.64,0,0.55,0,0,0
