stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,4.09,4.09,40.86,0,0,0,0
72hpf,2.14,0,0,0,3.21,6.42,4.28,6.42,4.28,0,1.07
21Day,0,0,2.68,1.34,5.35,9.37,1.34,25.43,1.34,4.02,0
3Month,0,0.32,0,0,0,0,0,0.64,0,0,0
