stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,20.43,24.52,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,2.14,0,0,0,4.28,9.63,0,7.49,0,0,0,0,0,0
21Day,1.34,0,0,2.68,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0,0,6.69,0,0,0,0,0,0,2.68,0,1.34,0,0,0,0
3Month,0.32,1.6,0.96,16.96,0,0,0.32,0.32,3.2,0,21.76,0.96,0.64,5.44,1.92,6.08,2.24,3.52,0.96,0,3.84,1.92,0,2.24,0,12.8,0.32,0,0.32,4.48,1.6
22Month,0,0.55,0,4.37,0,0,0,1.64,3.28,0.55,12.03,0,0,2.73,0,1.09,2.73,1.64,0,0.55,1.09,0,0,0,0,10.39,0,1.09,0,0,1.09
