stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1095.16,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,36.78,245.18,0,0,0,0,16.35,102.16,0,0,49.04,0,0,0,0,0,4.09,0,0
72hpf,4.28,2.14,445.03,10.7,0,0,0,0,0,0,0,0,0,0,2.14,522.06,14.98,89.86,0,0,1.07,1.07,69.54,23.54,0,0,27.81,0,0,3.21,0,0,1.07,0,0
21Day,2.68,0,60.23,4.02,0,1.34,0,0,0,0,0,0,2.68,1.34,6.69,100.39,5.35,20.08,0,0,0,0,143.22,2.68,1.34,1.34,9.37,14.72,0,1.34,0,2.68,0,0,1.34
3Month,0,1.92,1.28,0,0.32,0,1.92,1.6,0.96,0,0.64,0.96,0,0.64,0.32,0.32,0.96,8.96,0.64,0,5.76,0,6.08,0,0.32,0,0,0,1.28,0.64,0,0,0,0.32,0
22Month,0,1.64,6.01,0,0,0,1.09,1.09,5.47,0.55,10.39,1.64,0.55,1.09,0,0,3.28,6.56,0,0.55,4.37,0,3.28,0,0,1.09,0,0,6.01,3.28,1.64,0,0,0,0
