stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,24.52,8.17,474.02,0,0,0,0,0,40.86,0,0,0,0,4.09,0,16.35,290.13,0,0,0,8.17,547.58,0,0,4.09,0,0,0,0,0,0
72hpf,6.42,0,46,4.28,0,0,0,0,0,0,0,0,0,3.21,6.42,0,240.7,0,1.07,13.91,18.19,12.84,0,0,102.7,0,0,0,1.07,0,0
21Day,5.35,5.35,10.71,2.68,0,1.34,0,0,0,1.34,0,8.03,0,0,5.35,0,121.81,0,0,161.96,10.71,2.68,0,0,14.72,2.68,1.34,1.34,0,0,1.34
3Month,0.32,14.08,4.48,0,0.64,0.32,0,2.88,0,7.04,3.2,1.28,0.64,0.32,0.64,0.64,30.08,0.32,0,47.03,0.32,0.64,2.24,0,1.28,1.28,4.48,0,0,0.64,1.92
22Month,0,0.55,0.55,0,0,0,0.55,5.47,0,11.48,3.83,0.55,1.64,0.55,0,0.55,0,0,0,0.55,0,0,0.55,0.55,0,1.09,78.72,0,0,0,0
