stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,4.09,4.09,4.09,89.9,0,0,0,0,0
72hpf,2.14,2.14,0,1.07,3.21,27.81,18.19,1.07,1.07,1.07,1.07,1.07
21Day,0,0,5.35,0,2.68,4.02,2.68,0,0,0,0,0
