stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,2.14,0,0,0,0,0,0,1.07,6.42,0,0,1.07,296.33,11.77,0,5.35,0,0,0,0,0,0,0,0
21Day,2.68,0,0,4.02,9.37,1.34,0,0,0,0,1.34,0,2.68,1.34,2.68,1.34,208.81,5.35,2.68,6.69,6.69,0,2.68,1.34,1.34,1.34,0,1.34
3Month,0,0,0.32,0,0,0,0.32,0.32,1.6,0.32,0.32,0,0,0.96,0,0.96,0.96,0,0,0,0,0.32,0,0,0,0,41.59,0.32
22Month,0,0,0,0,0,0,0,0,9.84,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
