stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,20.43,40.86,0,0,0,0,0,0,0,0,0
72hpf,32.09,3.21,12.84,2.14,18.19,0,0,0,0,0,4.28,27.81,2.14,12.84,0,3.21,1.07,2476.57,96.28,1.07,41.72,0,0,9.63,1.07,4.28,0,0
21Day,4.02,1.34,8.03,0,2.68,0,1.34,0,1.34,0,0,2.68,0,2.68,0,0,0,56.22,0,0,0,2.68,1.34,1.34,0,0,0,1.34
3Month,0,0,1.92,0,0,0.32,0.64,2.56,0,0.96,0,0,0.32,0,0.32,0.32,0.64,0,0,0.32,0,0,5.12,0,0,0,1.28,0.32
22Month,0.55,0,1.09,0,0,0,0,9.29,0,1.64,0,0,1.64,0,0,0.55,0,0.55,0,0,0,0,3.28,0,0,0,0,0.55
