stage,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,53.12,0,0,0
72hpf,0,0,0,9.63,4.28,0,0,0
21Day,0,0,0,1.34,5.35,0,1.34,0
3Month,0.32,0.32,0.32,0,0,1.92,0,0.96
