stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,6.42,2.14,3.21,2.14,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,0,2.68,0,2.68,2.68,0,0
3Month,1.6,0,0,0,1.92,0.32,0.64,0,1.28,0.64,1.28,0,0,0,4.48,2.24
22Month,0,0.55,0.55,0.55,8.75,0,1.09,0,0,1.09,1.09,0,0,0.55,0,0
