stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,302.39,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,4.09,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,1108.3,3.21,0,2.14,0,5.35,0,0,1.07,0,0,0,0,1.07,2.14,0,12.84,0,0,0,0,28.88,17.12,0,0,8.56,0,0,2.14,0,2.14,0,0,0
21Day,675.96,0,0,18.74,0,4.02,1.34,0,0,1.34,0,6.69,2.68,1.34,6.69,5.35,38.82,0,0,4.02,0,14.72,21.42,4.02,0,1.34,5.35,0,1.34,1.34,0,0,0,4.02
3Month,281.88,0.32,0.32,5.12,0,0,0.32,1.28,0.64,10.88,1.6,0,3.84,0,3.2,0.64,2.88,0.32,0,4.48,0.32,0.96,3.2,1.28,0.96,0.32,0.32,24.96,0,0,0,0.64,4.48,2.24
22Month,3.28,0.55,0,2.19,1.64,0,0,4.37,3.83,9.29,0.55,2.19,6.01,0,0.55,0,1.09,0,1.09,1.09,0,0,0,0,0,0,0,44.83,0,0,0,0.55,0,0
