stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,6.42,4.28,0,0,0,0,0,0,0,0
21Day,0,0,5.35,0,1.34,0,0,0,0,1.34,1.34,0,8.03,1.34,0,0,0,0,0,1.34,0,1.34,0,0,1.34,0,0,0
3Month,1.6,0.32,22.4,0.32,0,16.96,3.84,6.72,5.76,0.96,23.36,1.92,20.16,9.92,2.56,0.64,0.32,5.44,0.96,0,1.6,0.32,1.92,46.71,0,0.32,11.2,5.44
22Month,0.55,0.55,4.92,0,0,0.55,2.73,12.03,0,1.09,2.19,0,4.92,4.92,1.09,0,0,1.64,0,0,2.19,0,0,3.83,0,0.55,0,2.19
