stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,12.26,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,1.34,2.68,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,8.03,0,0,0,0
3Month,2.24,0,0.32,0.64,0,6.08,0.64,0.32,2.56,0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0.64,0.64
22Month,0,0,0,0,1.64,30.61,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0.55,0,0
