stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,4.09,0,8.17,0,24.52,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,8.56,0,2.14,0,1.07,0,1.07,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.32,0.32,213.09,0,0.64,58.23,2.24,0,11.84,6.08,9.28,1.6,2.56,0.96,4.48,1.92,0,1.92,0.64,0,3.84,1.28,0,0,1.28,2.88,0.96,2.56,3.2
22Month,0,1.64,1.64,41.55,0.55,0,5.47,4.37,2.73,48.65,0.55,13.12,0.55,0.55,4.37,6.01,0,1.09,0.55,0.55,0,2.73,2.73,156.89,0,0.55,2.73,0,0,2.19
