stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,65.26,1.07,0,0,0,0,16.05,16.05,2.14,0
21Day,0,4.02,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0,26.77,2.68,2.68,1.34,1.34,2.68,29.45,37.48,1.34,0
3Month,0.64,1.6,0,0,0.32,0.32,0,1.28,0.32,0.64,0.32,0.32,0,0,0.32,0,0,0,0.32,12.16,0,0,0,0,2.56
22Month,0.55,0,0,1.09,0,0,0.55,9.29,0.55,0.55,0,1.09,1.09,0,0,0,0,0,0,0.55,0,0.55,0,0,0
