stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,32.69,32.69,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,5.35,0,2.14,18.19,2.14,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,26.77,0,0,0,5.35,0,0,0,0,2.68,1.34,1.34,0,0,1.34,0,0,0,0,0,0,10.71
3Month,0.32,0.64,5.76,0,0.96,0,64.95,5.44,46.07,6.08,20.48,0,1.6,29.44,6.08,1.92,1.28,0.64,0.96,0,0,0.32,1.28,1.28,0.32,0.96,0.32,0.32,0.64,2.24,82.87
22Month,0.55,2.19,4.92,0,0,0.55,95.12,8.2,31.71,7.65,9.84,0,0,36.63,6.01,0,0,0,0.55,0,0.55,0.55,0,0.55,0,0,0,0,0,0,34.99
