stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,2.14,5.35,1.07,0,0,0,0,0,0,0,2.14,0,0,0,280.29,8.56,0,0,6.42,0,0,1.07,7.49,7.49,3.21,0
21Day,0,1.34,6.69,5.35,5.35,0,0,0,0,0,0,1.34,2.68,0,1.34,0,81.65,5.35,0,1.34,0,0,0,0,8.03,20.08,12.05,0
3Month,0,0.32,3.52,0.32,0,0.32,0.32,0,3.2,0,1.28,0.32,0,0.64,0.64,0.32,0.32,0.32,0.32,0,0,0,4.8,0,0.32,0,0,16.32
22Month,0,2.19,1.64,0.55,0,0.55,4.37,0.55,9.29,0.55,1.09,0,0,1.09,1.64,0.55,0,0,0,0.55,0,0.55,4.92,1.09,0.55,0,0,0
