stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,28.6,0,20.43,0,0,0,0,0,0,0,0
72hpf,5.35,12.84,0,5.35,3.21,0,0,0,0,0,0,0,0,1.07,3.21,1.07,10.7,0,0,0,0,21.4,5.35,0,23.54,0,0,1.07,0,0,0,0,0
21Day,5.35,1.34,0,21.42,0,0,0,0,0,0,1.34,0,0,1.34,5.35,1.34,16.06,0,0,1.34,0,20.08,2.68,0,2.68,1.34,0,0,1.34,2.68,0,0,1.34
3Month,0,6.72,0.96,11.52,0,0.32,1.28,0.64,0,24.64,0.32,0.32,2.24,0.64,9.28,0.64,1.92,0.32,0,0.96,0.96,0,0.64,0.32,0,0.64,4.16,0,0,0.32,3.52,45.11,0.64
22Month,0.55,24.05,0.55,3.28,0,0.55,0,1.64,1.09,46.47,0.55,0,1.09,0,0.55,1.09,1.09,0,0.55,0,0,0,0.55,0.55,0,0,4.92,0.55,0,0.55,0,0,0
