stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,1.07,7.49,0,0,0,0,0,18.19,0,1.07,0,0,0,0,1.07,0,0,0
21Day,1.34,0,1.34,32.12,2.68,0,1.34,1.34,0,0,0,0,1.34,0,0,6.69,0,1.34,0,1.34,0,4.02,1.34,1.34,0,0,0,2.68,0,0,0,0
3Month,0.64,1.28,0.64,20.48,0,0.32,0,0.64,0.64,0,12.16,1.6,0.32,5.12,1.92,28.8,2.24,3.2,0,0.32,1.92,0,1.28,0.32,0.32,2.56,0,0,0,0.96,0.64,0.96
22Month,0,0.55,0.55,9.29,0,0,0,1.64,1.64,3.28,48.11,0,0,11.48,0,3.28,1.09,0,6.01,0,0,0,1.09,0,0,1.09,1.09,0,0,0,0,1.09
