stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,4.28,0,0,25.67,2.14,0,2.14,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,6.69,0,0,6.69,1.34,0,1.34,0,0,0
3Month,0,0.32,0.32,3.52,0,0.32,2.24,0,0,0.96,0.64,1.28,0.32,2.24,0.64,0,0.32,0,0.32,0,0.64,1.28,0.32
22Month,0,0.55,0.55,0.55,0.55,1.09,6.01,1.09,0.55,3.28,0,0,0.55,3.28,0.55,0.55,0,0,0,0,1.64,0,0
