stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,1.07,2.14,0,0,3.21,0,0,1.07,0,0,0,0
21Day,0,0,0,4.02,1.34,0,0,0,0,0,0,1.34,1.34,0,0,4.02,0,0,4.02,2.68,0,0,0,0,0,1.34,0,0,0,1.34
3Month,0.32,1.92,0.64,5.76,0,0,0,0.64,0.32,30.4,1.6,0,3.52,2.88,1.92,4.16,1.28,0.96,0.32,0,0,0.32,0,0.96,69.11,0,0,0.96,11.84,0.64
22Month,0,6.01,1.09,11.48,0,0.55,0.55,1.64,2.19,9.84,2.73,1.09,14.21,1.64,4.92,16.4,1.64,0,0.55,0,0.55,4.37,0,0.55,9.84,0,0.55,0,0,2.73
