stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,4.09,4.09,24.52,0,0,0
72hpf,2.14,3.21,0,0,0,0,1.07,1.07,0,0,0,0,0
21Day,0,4.02,0,0,1.34,0,2.68,6.69,1.34,1.34,1.34,1.34,0
3Month,0,0.32,0,0.32,0,0.32,0.32,0.32,0,0,0,0,0.32
22Month,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0
