stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,1.07,21.4,2.14,1.07,0,1.07,0
21Day,1.34,0,1.34,0,0,0,1.34,0,0,1.34,4.02,4.02,0,0,0,0,0
22Month,0,0.55,0,0.55,0.55,6.01,0,0.55,0.55,0.55,0,0,0,0,1.09,0,0.55
