stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,32.69,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,6.42,0,0,0,16.05,5.35,0,0,0,0,0,0
21Day,0,0,8.03,0,1.34,1.34,1.34,1.34,1.34,1.34,1.34,0,0,4.02,0,0,0,4.02,0,0,0,1.34,0,0,1.34
3Month,0,0.32,2.56,0,0,0,0.96,0.64,0.32,0.64,0.96,0.96,1.28,0,0.32,0.32,0.64,0,0,0.32,0.32,0.32,0.96,0.64,0.32
22Month,0,1.09,1.64,0.55,0,2.19,2.73,0.55,0,0,0,0,1.64,0.55,0,0.55,0,0,0,0,0,0,0.55,0,0.55
