stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,57.21,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,35.3,5.35,13.91,1.07,20.33,1.07,2.14,0,0,0,3.21,0,12.84,85.58,3.21,33.16,1.07,1.07,8521.96,369.08,1.07,2.14,70.61,0,2.14,38.51,243.91,307.03,7.49,0,0,0
21Day,18.74,0,46.85,2.68,25.43,2.68,1.34,0,5.35,0,6.69,2.68,2.68,18.74,5.35,28.11,8.03,0,1263.58,119.13,1.34,1.34,9.37,16.06,1.34,4.02,244.95,1333.18,2.68,0,0,8.03
3Month,0,0.32,2.24,0,0,0,0.64,0,1.92,0.32,0,1.28,0,0.32,1.28,0.96,0,0.32,8.96,2.24,0,0.32,0,0,39.35,0.32,0.32,0.96,0,0.64,13.44,0.96
22Month,0,0,1.64,0,0,0,0.55,0.55,6.01,0,0,0.55,0,0,0.55,1.64,0,0,1.64,0,0,0,0,0,9.84,0,2.73,1.64,0,0,0,1.09
