stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,40.86,0,4.09,0,16.35,0,0,24.52,20.43,32.69,4.09,224.75,0,0,0,0,0,0,0
72hpf,1.07,7.49,6.42,0,0,0,0,2.14,8.56,0,10.7,9.63,22.47,8.56,0,0,1.07,0,0,0
21Day,1.34,4.02,14.72,1.34,0,0,1.34,0,4.02,0,1.34,5.35,12.05,1.34,0,1.34,1.34,0,0,1.34
3Month,0.32,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0.32,0.96,0,0.32,1.28,0.32
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
