stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,0,0,0,0,5.35,2.14,0,0,2.14,0,0,0,1.07,0,0,0
21Day,1.34,0,0,21.42,0,0,0,0,0,0,0,1.34,0,0,1.34,28.11,4.02,2.68,0,0,1.34,0,2.68,2.68,0,0,0,0,0,0,0,0,0,2.68
3Month,0.64,0.32,2.24,77.75,0.32,0.32,1.6,13.12,21.12,0,38.07,6.72,4.48,69.43,2.56,13.44,19.2,6.72,2.24,0.32,9.28,3.52,0.96,0,5.12,1.28,0.32,0.96,9.6,0.96,0,7.04,3.84,78.07
22Month,0,3.28,4.37,24.05,0,1.09,0.55,6.01,8.2,0.55,60.13,2.19,3.28,74.35,1.09,4.37,9.29,5.47,0,3.28,2.19,0,0,0,1.64,0.55,0.55,0,3.28,0,0,1.64,0,9.29
