stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.64,0.32,0,2.56,1.28,0.32,0.96,0.32,0.32,0.96,1.28,0,0.32,0,0.32,0.32,32.63,0,0.64,13.44,0.96
22Month,0.55,0.55,0,1.09,3.28,0,0.55,0,0,0.55,0,0,0.55,0,0.55,0,0,6.01,0.55,0,0,0
