stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,1.07,0,0,0,0,0,0,2.14,0,1.07,0,2.14,10.7,0,0,0,0,399.03,5.35,2.14,3.21,1.07,0,0,3.21,0,2.14,0,0,0
21Day,2.68,0,1.34,13.39,1.34,5.35,0,4.02,0,0,0,25.43,2.68,0,5.35,9.37,18.74,0,0,0,0,416.28,12.05,2.68,4.02,8.03,8.03,1.34,1.34,1.34,0,0,0,33.46
3Month,0,0.96,0,8,0,0,0.64,16.32,0,1.6,2.56,6.4,1.28,0,0.96,14.72,3.52,1.28,0,0.64,0.32,5.44,0,1.92,0.96,0.64,1.28,3.52,0.96,0,0,1.28,0.64,52.47
22Month,0,0.55,0,0,0,0,0,33.35,1.64,4.92,1.09,15.85,0,0,0,14.76,3.83,0.55,0.55,0,0,6.01,0,2.73,0.55,0,0,4.37,2.19,0,0,0,0,24.6
