stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.07,6.42,0,0,3.21,0,0,1.07,1.07,0,0
21Day,1.34,0,4.02,0,0,1.34,0,0,0,0,0,0,0,0,8.03,0,0,1.34,0,25.43,5.35,0,0,1.34,4.02,0,1.34,0,0,0
3Month,0.96,0.96,9.28,0.32,0.64,0,0.64,0,4.16,0.64,0.96,1.28,1.92,0.96,3.52,0.32,0,0.96,0,0.64,0,0.32,0.32,0,1.6,1.6,0.96,0,1.6,0.32
22Month,1.09,1.09,7.65,0.55,0,0,2.73,2.19,27.88,1.64,1.09,4.92,1.09,2.19,3.83,0,1.64,1.09,0.55,0,0,0,0,0,0,0,4.92,0,0,1.09
