stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,5.35,0,3.21,0,1.07,0,0,0,0,14.98,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,8.03,0,8.03,0,1.34,0,0,0,0,6.69,0,0,0,1.34,1.34,0,0,0
3Month,0,0,0,2.24,0,0,0,0,0,0.32,0,19.84,0.64,0,1.92,7.36,0.96,1.92,0,0,0.32,0.64,0.32,0,0,0.96,0.64,0,0,0,0.64,0.32,0.32
22Month,0,0.55,1.09,2.73,0,0,0.55,0.55,1.09,2.73,1.64,43.73,1.64,0.55,3.28,0,2.19,2.73,0.55,0,0,0,0.55,0.55,0.55,0,0.55,0.55,0,0,0,0,0.55
