stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,4.28,1.07,0,0,0,0,0,0,0,0,2.14,0,6.42,0,34.23,9.63,8.56,1.07,1.07,0,0,0,0,1.07,0,0,0
21Day,0,1.34,1.34,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34,0,10.71,1.34,33.46,2.68,0,2.68,0,0,5.35,0,2.68,0,0,0,0
3Month,0,0.32,0.96,0,0,0,0,0.32,0,1.6,0.64,0,0.64,0.64,0.64,0.64,3.2,0.32,0.32,2.56,0,0,0.64,0.64,0.32,0,0.64,0,0.64,0.32
22Month,0,3.28,1.09,0,0,1.09,0.55,1.64,0.55,9.29,1.09,0,1.09,0.55,0,0.55,1.09,0,0,4.92,0,0,1.64,0.55,0,0,0.55,0.55,0,0
