stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,8.17,4.09,12.26,0,0,8.17,118.51,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,4.28,0,3.21,1.07,1.07,67.4,40.65,3.21,0,0,2.14,1.07,0,0,0
21Day,2.68,0,0,8.03,0,1.34,4.02,0,2.68,0,0,0,1.34,1.34,2.68,4.02,2.68,12.05,0,4.02,32.12,21.42,4.02,1.34,1.34,1.34,1.34,1.34,0,1.34
3Month,0,0.32,0,2.88,0.32,0,0,0.32,1.28,0,3.52,0.32,0.32,0.64,0,0.96,0.96,0.64,0,0.32,0,0,0,0,3.84,0,0,0,1.6,1.28
22Month,0,0,1.09,1.64,0,0,0,0,0.55,0,10.93,0,0,1.09,0,0.55,2.73,2.19,0,0,0.55,0,0,0,0.55,0,0,0,0,0
