stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,11.77,9.63,0,2.14,0
21Day,1.34,4.02,2.68,1.34,2.68,0,0,0,1.34,1.34,0,0,2.68,1.34,2.68,0,1.34,0,4.02,0,0,2.68,0
3Month,0,1.6,0,0,0.64,0.64,0.96,4.16,1.6,0,0.64,0,1.92,1.6,0.64,0,0,0.64,0,0,0.32,0.32,0.64
22Month,0,1.09,0,0,0,0,4.37,3.83,1.09,1.64,1.64,0,0,2.19,0,0.55,0,0,0,0,0,0,1.09
