stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,4.09,0,0,0,0,0,4.09,0,16.35,12.26,0,98.07,4.09,0,0,0
72hpf,0,2.14,3.21,1.07,1.07,0,0,0,2.14,8.56,7.49,28.88,13.91,2.14,2.14,0,0
21Day,1.34,0,0,0,0,0,5.35,0,0,1.34,4.02,1.34,0,0,0,1.34,5.35
3Month,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,3.83,1.64,0,0,0,1.64,0.55,0,0,0,0,0,0
