stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,32.69,0,0,0,0,0,0,0
72hpf,3.21,2.14,2.14,0,0,1.07,4.28,7.49,1.07,511.36,14.98,1.07,6.42,0,3.21,0,2.14,0
21Day,0,0,1.34,0,0,0,0,4.02,0,133.85,0,0,0,1.34,0,1.34,1.34,2.68
3Month,0,0.32,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
