stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,16.35,0,16.35,0,0,0,4.09,0,0,0,0,0,0,0,4.09,8.17,36.78,114.42,0,4.09,0,0,61.3,866.32,0,0,12.26,0,0,0,0,12.26,0,0
72hpf,12.84,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0,1.07,1.07,0,0,2.14,0,0,0,1.07,0,0,0
21Day,4.02,0,0,6.69,1.34,1.34,0,0,6.69,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,0,0,0,0,1.34,0,0
3Month,1.6,0.96,0.96,6.4,0,0,0,1.28,44.15,1.92,0,9.28,1.92,0.96,2.88,0.64,0.32,2.56,11.2,5.12,0,0.96,42.23,0.96,0.32,2.24,0.32,0.32,0.32,51.83,0,0,0,2.56,1.6
22Month,1.09,1.64,2.73,4.37,0,0,0.55,0,44.83,3.28,16.95,17.49,0.55,7.65,4.37,0.55,0,4.37,44.28,1.64,0,3.28,2.73,1.64,0,2.19,1.09,0.55,0,32.8,1.09,0,0.55,0,0
