stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,12.84,4.28,0,0,0,0,0,0,0,0,0,5.35,38.51,0,3.21,0,0,0,0,9.63,3.21,0,0,8.56,0,0,0,0,0,0,0,0
21Day,1.34,0,0,44.17,0,0,0,0,0,0,0,0,2.68,2.68,8.03,28.11,0,10.71,0,0,2.68,0,8.03,0,0,0,9.37,4.02,0,0,5.35,8.03,0,0,0
3Month,0.32,0,0,47.35,0.96,0,0,3.2,3.2,0,59.83,1.28,0.32,17.92,2.56,13.44,0.64,5.76,2.88,0,0.64,2.24,2.56,0,1.6,0,1.6,1.28,1.28,0.32,0,0,0.32,1.28,1.28
22Month,0,1.09,2.73,14.76,1.09,1.09,1.09,3.28,2.73,2.19,203.36,3.83,0.55,26.79,1.09,2.19,3.28,6.01,0.55,1.09,1.09,0,1.09,0,2.19,0.55,1.09,0,0.55,1.09,0,0,0,0,2.73
