stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0.32,1.28,0.32,0.32,0.96,0.32,0.64,0.64,0,0.32,0,32.31,0.64,15.68,0
22Month,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.55
