stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,4.09,89.9,0,0
72hpf,0,0,0,0,2.14,3.21,6.42,2.14,0,1.07
21Day,0,0,0,1.34,2.68,0,4.02,4.02,1.34,1.34
22Month,0.55,1.09,1.09,0,0,0,0,0,0,0
