stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,8.17,16.35,0,32.69,0,0,0,8.17,12.26,241.1,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,9.63,20.33,1.07,0,0,0,0,0,0,0,0,0,0,5.35,7.49,0,2.14,0,0,0,0,32.09,38.51,1.07,1.07,0,2.14,0,0,10.7,1.07,0,0,0,0
21Day,0,0,9.37,13.39,2.68,0,0,0,0,0,0,0,0,0,0,8.03,6.69,0,4.02,0,0,1.34,0,5.35,10.71,0,0,0,5.35,2.68,1.34,1.34,0,0,0,0,0
3Month,3.2,2.24,190.05,9.6,0,0.96,0.64,0.64,8.32,8.96,0.64,47.67,9.28,0.96,13.12,39.67,8.32,9.28,9.92,7.36,0.64,4.48,6.72,21.12,0.64,4.48,2.56,0,1.92,9.28,136.3,2.56,0,3.2,4.16,2165.42,4.16
22Month,0,1.64,90.2,1.64,0,0,0,0,0.55,1.64,1.09,22.96,0,0,2.73,3.83,2.73,2.19,19.68,1.09,1.09,1.09,1.64,5.47,1.64,2.73,0.55,0.55,0.55,0.55,43.73,2.73,0,1.09,0,12.03,0
