stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
72hpf,0,0,0,25.67,0,0,6.42,4.28,0,0,1.07,0
21Day,2.68,1.34,0,0,1.34,1.34,1.34,1.34,1.34,0,0,1.34
3Month,0.32,0,0,0,0.32,0,0,0,0,0.64,0,0
22Month,0,0,1.09,0,0,0,0,0,0,0,0,0
