stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,14.98,0,0,1.07,5.35,3.21,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,2.68,0,0,0
3Month,0.32,0.32,0,4.16,0.32,0.96,0,0.64,0.32,0.32,0.64,0,0.32,0.32,0,0.32,0.96,0,0.32,0,0.32,0.32,0.32
22Month,0.55,1.09,1.64,33.35,0,2.73,0,0,0.55,0.55,0,0,0,0,0,0,0.55,0.55,6.01,0,0,0,0
