stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,5.35,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0
3Month,6.72,0,0.32,0.64,0,0.64,0.64,0.64,0.64,0.32,0,0.32,0.64,0.32,0
22Month,9.84,0,0,1.09,0.55,4.37,0,0,14.21,1.64,0.55,0,0,0,1.09
