stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,5.35,0,1.07,0,0,0,0,3.21,1.07,0,0,3.21,0,0,1.07,0,0,0
21Day,6.69,0,1.34,16.06,2.68,1.34,0,2.68,0,2.68,0,0,0,8.03,1.34,2.68,9.37,4.02,28.11,0,0,2.68,0,4.02,4.02,0,0,9.37,1.34,0,0,0,0,6.69
3Month,0,2.88,0.32,13.44,0,0,0.64,0.32,2.88,5.12,0.32,15.36,5.76,0.32,6.08,0.96,6.4,4.8,6.08,0.96,0,1.28,0.64,1.28,0,0,0.64,0.96,0.32,0.64,0.32,3.2,3.2,7.04
22Month,0,3.83,3.28,9.84,0,0,0,0,2.73,11.48,4.92,25.69,1.09,1.64,20.23,1.09,0.55,7.11,7.11,0.55,0.55,1.09,0,0,0,3.28,0.55,0,0,0.55,0.55,0,0,4.92
