stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,1.07,1.07,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,9.37,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,1.34,0,0,1.34,10.71,0,1.34,4.02,2.68,2.68,0,0,0,0,0
3Month,0.64,0.64,17.92,0.32,0,0.64,0,4.16,0.64,0,10.88,0.64,10.88,0,9.92,0.96,4.16,0.32,0,0,0,0,0,1.28,0.64,0.96,0.64,0,0.32,0.96,0.32
22Month,1.09,1.09,13.12,0,0,0.55,1.09,1.09,1.64,1.09,49.2,2.19,16.95,0,3.83,4.92,4.92,0,3.83,0,0,0,1.09,0,0,0.55,1.09,1.09,0,0,1.64
