stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oocyte,Pancreatic_macrophage,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34
3Month,0.32,0.96,0.32,0.64,0,1.28,2.56,0,0.32,7.36,0,0,0,0.32,0.64,0.64,7.36
22Month,0.55,1.09,0,0.55,0.55,3.28,0.55,0.55,0,1.64,0.55,0,0.55,0,0,0,7.11
