stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,8.17,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,2.14,16.05,1.07,5.35,0,2.14,1.07,0,5.35,2.14,0,0,6.42,0,0,0,1.07,0,0,0,0
21Day,0,0,0,10.71,0,4.02,0,0,0,0,0,8.03,1.34,0,0,1.34,10.71,0,12.05,0,0,2.68,0,2.68,5.35,0,0,9.37,1.34,0,0,0,0,0,0,2.68
3Month,0,0,0.64,42.55,0,0,0,15.68,3.52,0,0,44.47,19.84,1.6,22.72,7.04,11.2,7.36,4.8,0.96,0.64,5.12,0.64,1.6,0,0.96,0.32,0,0.64,0.32,8.96,0.32,0,0.64,0.32,0.64
22Month,0.55,2.19,4.92,15.31,1.09,0,1.09,11.48,12.03,10.39,0,462.47,11.48,1.64,49.2,3.83,1.09,15.31,8.2,0,6.01,4.37,0,0,0,1.64,0,0,0.55,0,3.83,0.55,1.09,0,0,1.09
