stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,35.3,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,5.35,0,0,0,0,0,0,0,0,0,0,2.68,0,0,1.34,0,0,0
3Month,0.64,0,3.84,0.32,0.64,0,0.32,0.32,0.64,0,1.28,0.96,0,0.32,2.56,0,8,0
22Month,0,0,1.09,0,2.73,1.09,0.55,0,0.55,0.55,0,0,0,0,26.24,0.55,0,0.55
