stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,3.21,0,0,0,0,0,0,0,0,0,1.07,3.21,0,1.07,0,0,0,0,3.21,2.14,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,17.4,6.69,0,1.34,2.68,0,0,1.34,2.68,5.35,2.68,0,6.69,2.68,8.03,1.34,0,0,0,5.35,0,0,0,1.34,2.68,0,1.34,0,0,1.34
3Month,0,0.32,0,20.8,0,0.32,0,14.72,4.16,0,25.6,7.68,0.64,30.08,0,4.16,4.16,4.48,1.28,0,5.12,1.6,0.32,0,0.32,0.96,0.32,0.96,2.24,0,0.96,1.28,2.56
22Month,0,1.64,2.19,2.19,0,0.55,0.55,4.92,4.37,0,36.08,1.64,0,40.45,0,0.55,2.73,2.73,0,0.55,1.64,0,0,0,0.55,0.55,0,0.55,0,0,0.55,0,1.09
