stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,8.17,0,0,0,0,0
72hpf,4.28,0,3.21,5.35,1.07,0,0,0,0,0,0,0,31.02,0,0,3.21,0,10.7,9.63,0,0,20.33,0,11.77,0,1.07,0
21Day,1.34,0,2.68,0,2.68,0,0,1.34,0,0,2.68,1.34,36.14,0,0,0,0,6.69,5.35,0,0,13.39,0,13.39,1.34,4.02,0
3Month,0,0,1.28,0.32,0,0.64,0,0.96,0.32,0.32,1.6,0.64,5.76,0.32,0,0.96,0.96,0.32,0.32,0.32,0,0,0.32,0,0,0,0.64
22Month,0,0.55,1.09,0,0,1.64,0.55,8.2,0.55,0.55,0,0,6.01,0,1.09,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0
