stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,2.14,1.07,0,21.4,0,0,0,0,0,1.07,0,0
21Day,0,0,1.34,0,2.68,0,0,0,0,0,0,0,1.34,4.02,0,0,0,0,61.57,0,0,58.9,1.34,2.68,0,1.34,1.34,0,0,0
3Month,0,0,5.76,0,0,0.96,3.84,1.6,0,0.96,0.32,1.28,0.96,1.28,0,0,1.28,0.96,6.08,0,1.6,182.69,0,0.32,1.92,0,0,0,1.6,0
22Month,0.55,0.55,2.73,0,0,1.64,15.31,1.09,0.55,1.09,0,0.55,0.55,1.09,0.55,0.55,0,0,4.92,0,0,204.45,0,0,9.29,0.55,0,0,0,0.55
