stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,1.6,0,0.64,0.96,0.32,6.08,0.32,3.52,0.32,0.32,0.32,0,0,1.28,0.32
22Month,0,0,2.19,0.55,0,0,0.55,8.2,0,0,0,0,0,0,0
