stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,0,12.26,0,0,0,0,0,4.09,0,4.09,0,0,0,0,8.17,20.43,0,0,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,4.28,2.14,8.56,0,0,0,0,0,0,0,0,0,2.14,14.98,0,0,0,0,0,3.21,23.54,7.49,1.07,2.14,3.21,0,0,4.28,1.07,1.07,0,0,0
21Day,18.74,0,0,28.11,2.68,62.91,0,6.69,0,0,0,0,0,2.68,0,2.68,16.06,4.02,9.37,0,0,2.68,0,18.74,4.02,4.02,6.69,6.69,1.34,2.68,0,6.69,12.05,0,0,0
3Month,0,1.6,0.32,10.56,0,0,0.64,0.32,0.64,1.6,0,0,10.88,4.16,3.52,0,7.68,0.96,4.16,0.64,0,1.6,1.6,0.64,0,0.96,0.32,0.32,1.6,4.8,0.32,0,0,5.12,3.84,2.56
22Month,0,2.19,0,5.47,1.64,0,0,0.55,0.55,3.28,3.28,0,45.92,2.73,4.92,0.55,3.28,3.83,3.83,0.55,0.55,1.64,0,0,0,1.09,0.55,0.55,0,1.09,3.28,0,0,3.28,0,1.09
