stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,2.14,1.07,0,0,0,0,2.14,0,0,0,10.7,2.14,0,3.21,0,18.19,0,0,51.35,5.35,1.07,0,0,0,0,0,0,1.07,0,1.07,0,0,0
21Day,0,2.68,8.03,0,1.34,0,1.34,0,0,9.37,0,1.34,5.35,1.34,2.68,1.34,2.68,0,1.34,4.02,0,38.82,4.02,4.02,6.69,0,1.34,5.35,1.34,0,0,4.02,0,0,0,1.34
3Month,0.32,1.92,10.88,0.32,0,0.32,2.56,1.92,0,51.83,1.6,0,13.76,0,0.96,0.96,1.6,0.64,0,2.56,1.28,2.88,0,2.56,4.8,0,0,1.28,1.6,0.32,0,0,0,0.32,2.88,0.64
22Month,0.55,2.19,8.75,0,0,0,4.37,1.64,1.09,116.44,1.09,0,32.8,0,1.64,0.55,0.55,0,3.28,1.09,0,3.28,0,2.73,10.39,3.28,0,0,3.28,0.55,0,0,0,0,0,0
