stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,4.09,0,8.17,0,0,0,0,0,0,0,0,8.17,0,8.17,16.35,0,8.17,175.72,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,2.14,0,0,0,0,0,0,0,1.07,9.63,0,10.7,0,48.14,21.4,0,2.14,7.49,0,4.28,0,1.07,0,0
21Day,5.35,0,0,9.37,2.68,8.03,0,0,0,0,4.02,0,0,4.02,0,9.37,1.34,18.74,14.72,0,0,4.02,0,0,1.34,2.68,0,0
3Month,0,0.32,0,4.8,0,0,0.32,0,0,3.52,0,0.96,0,0.32,1.28,0.96,0,0.32,0.32,0,0.32,0,4.48,0,0,0,0.32,0.96
22Month,0,0.55,0.55,3.83,0,0,0,0.55,0.55,9.29,0,0.55,0,1.09,0,0.55,0.55,0,0,0.55,0,0,2.73,0,0,0,0,0
