stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,37.44,10.7,0,0,1.07,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,5.35,0,1.34,0,30.79,2.68,0,0,2.68,1.34,0,0,0,0
3Month,0.32,0,2.24,0,0.32,0.32,0,6.4,0.32,0,1.92,0.32,0.96,3.52,1.92,0,0.32,0.96,1.28,0,0.32,0.32,0,0,0.96,0,0.64,0
22Month,0,2.19,1.64,0,1.09,3.83,2.19,33.35,1.09,0.55,3.83,0,0.55,4.92,3.83,1.64,1.09,0,1.64,0,1.09,0.55,0,0,0,1.09,0.55,2.73
