stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,6.42,0,0,0,4.28,0,0,0,5.35,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,1.07
21Day,21.42,1.34,0,4.02,0,12.05,0,5.35,0,24.09,0,2.68,0,135.19,5.35,0,4.02,38.82,2.68,0,0,0,0,9.37,4.02,0,0,2.68,13.39,0,1.34,1.34,2.68,0,0,252.98
3Month,0.32,3.84,0.32,19.52,0.64,0,4.16,0.32,3.52,224.6,0,19.52,262.04,16.32,5.76,1.92,5.12,92.47,10.88,2.56,0,3.2,3.2,0.96,0,0.64,1.28,0,5.44,0.64,10.24,0.32,0,3.2,7.36,479.6
22Month,0.55,1.64,0.55,6.01,0.55,0,6.01,0,1.09,507.3,0.55,30.07,117.53,24.05,2.73,0,1.64,119.17,5.47,0,1.64,1.09,0,0,0.55,0,2.19,0.55,2.73,0,7.11,1.09,0,1.09,0,243.26
