stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,23897.29,8.17,0,61.3,20.43,8.17,0,0,0,0,8.17,0,0,0,4.09,4.09,20.43,28.6,948.05,0,0,0,0,12.26,1495.62,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,9322.16,9.63,0,22.47,5.35,33.16,0,1.07,0,0,0,0,0,0,0,5.35,56.7,10.7,87.72,0,1.07,158.33,1.07,215.03,125.17,2.14,59.91,0,1.07,24.61,2.14,5.35,2.14,0,0,0
21Day,7067.45,5.35,8.03,46.85,1.34,44.17,0,6.69,1.34,6.69,0,9.37,4.02,10.71,5.35,2.68,38.82,8.03,73.62,0,0,211.49,1.34,56.22,30.79,0,30.79,48.19,2.68,8.03,12.05,54.88,0,0,0,12.05
3Month,725.33,3.2,0,7.04,0,0,0.64,0.32,0.32,4.16,0,8,2.88,0.64,4.8,0.64,2.88,2.88,3.52,0.32,0.32,1.6,0,0.32,0,0,0,0.96,0.96,0,0,0,0,1.92,1.28,3.52
22Month,749.46,2.19,0,2.19,0,0,0.55,0,0.55,7.11,0,14.76,1.64,0.55,2.19,2.19,0.55,4.92,3.28,0,1.09,1.09,0,0,0.55,0.55,0,0,0,0,0,0,0,1.09,0,0.55
