stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,12.05,0,1.34,4.02,0,0,28.11,0,0,0,0,0,4.02,0,0,0,0,0,0,1.34
3Month,0.32,3.2,1.28,0,72.63,4.16,93.43,0.96,2.24,1.28,32.95,2.24,0.32,0,0.64,0.64,0,0.32,0.32,0.96,4.48,0.32,0.64,3.2
22Month,0,1.09,1.09,1.64,223.04,13.12,18.59,2.19,1.64,0.55,68.88,2.73,0.55,0.55,0.55,0,0.55,1.09,0,0,1.09,0,0,5.47
