stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,551.66,4.09,4.09,0,0,0,12.26,65.38,0,0,8.17,0,0,0,0,0
72hpf,3.21,0,0,72.75,1.07,0,0,0,0,0,0,0,0,0,0,345.54,1.07,9.63,0,0,0,21.4,11.77,0,1.07,12.84,0,0,1.07,0,0
21Day,4.02,0,0,136.53,0,1.34,0,0,0,0,0,0,2.68,0,0,56.22,0,9.37,0,0,0,4.02,1.34,0,0,12.05,4.02,4.02,1.34,0,0
3Month,0,0.32,0.32,38.39,0,0,0,3.52,1.92,0.32,5.12,0.96,0,0.32,0.64,49.27,0.64,12.16,14.08,0.32,0.32,0,0,0.32,0.32,0,1.28,8.64,0,0.64,0.32
22Month,0,0,0,6.01,0,0,0.55,1.64,0,62.87,16.4,0,0.55,1.09,0,8.75,0.55,20.77,16.95,0,0,0,0,0.55,0,0,0.55,8.2,0.55,0,2.19
