stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,4.09,81.73,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,0,4.28,9.63,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,5.35,4.02,0,0,0,1.34,2.68,0,0,2.68,1.34,8.03,0,0,0,5.35,2.68,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0,0.32,0.32,4.8,0,0.32,0.32,2.88,0.32,0.32,1.28,0.32,5.44,0.64,2.88,0.32,0.32,0.32,0.32,0,0.32,0.32,0,0,10.88,0.64,0,0.32,0.64,1.28,0.32
22Month,0,0.55,0,1.09,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0
