stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,1.07,0,0,0,0,0,0,1.07,0,0,13.91,0,2.14,0,0,0,1.07,3.21,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,10.71,0,9.37,0,1.34,0,1.34,1.34,0,1.34,1.34,1.34,6.69,0,4.02,0,0,0,2.68,0,0,2.68,0,0,0,0,0,1.34
3Month,0,0.64,0.64,15.04,0.32,0,0.32,0.32,2.24,1.92,10.24,1.28,0,3.52,0.96,0.96,2.56,0.64,0.32,0.96,1.6,0.64,0,0.64,0.32,0.96,4.16,0,0.32,1.6,3.52
22Month,0,1.09,1.09,2.73,0,0,0.55,0,0.55,1.64,20.23,1.09,0,2.19,0.55,1.09,1.64,1.09,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,1.09
